http://www.wikidata.org/entity/Q466581,होयसल राजवंश
http://www.wikidata.org/entity/Q31726198,हेलेना दत्त
http://www.wikidata.org/entity/Q97234392,हेली दारूवाला
http://www.wikidata.org/entity/Q5712828,हेमू कालाणी
http://www.wikidata.org/entity/Q11684693,हेमाद्रिपंत
http://www.wikidata.org/entity/Q12460830,हेमन्त सेन
http://www.wikidata.org/entity/Q2564509,हेमचन्द्र विक्रमादित्य
http://www.wikidata.org/entity/Q3626058,हेज़ल कीच
http://www.wikidata.org/entity/Q5923694,हृषीकेश सुलभ
http://www.wikidata.org/entity/Q5628435,हृदय नाथ कुन्ज़रू
http://www.wikidata.org/entity/Q496574,हु ह्वांग-ओक
http://www.wikidata.org/entity/Q5698103,हीरालाल रामप्रताप
http://www.wikidata.org/entity/Q3633470,हिन्दू स्वयंसेवक संघ
http://www.wikidata.org/entity/Q4955540,हिन्दू शाही
http://www.wikidata.org/entity/Q1194040,हिन्दू धर्म ग्रंथ
http://www.wikidata.org/entity/Q10090,हिन्दू धर्म
http://www.wikidata.org/entity/Q945237,हिंदू विवाह
http://www.wikidata.org/entity/Q15993403,हिंदू धर्माचार्य
http://www.wikidata.org/entity/Q1751846,हस्त उत्तानासन
http://www.wikidata.org/entity/Q14647783,हर्षवर्धन
http://www.wikidata.org/entity/Q216895,हर्षवर्द्धन
http://www.wikidata.org/entity/Q97516521,हर्ष बेनीवाल
http://www.wikidata.org/entity/Q15282805,हर्ष देव
http://www.wikidata.org/entity/Q5657874,हरीश चन्द्र मुखोपाध्याय
http://www.wikidata.org/entity/Q71706596,हरीश चन्द्र कुमावत
http://www.wikidata.org/entity/Q707203,हरिहर राय २
http://www.wikidata.org/entity/Q9575,हरिवंश राय बच्चन
http://www.wikidata.org/entity/Q12459901,हरिवंश महाप्रभु
http://www.wikidata.org/entity/Q1390715,हरिलाल मोहनदास गाँधी
http://www.wikidata.org/entity/Q3633680,हरिदास ठाकुर
http://www.wikidata.org/entity/Q7586282,हरिचाँद ठाकुर
http://www.wikidata.org/entity/Q5657172,हरिओम शरण
http://www.wikidata.org/entity/Q94742,हरि शंकर सिंघानिया
http://www.wikidata.org/entity/Q3349834,हरप्रसाद शास्त्री
http://www.wikidata.org/entity/Q107462,हरगोविन्द खुराना
http://www.wikidata.org/entity/Q29085,हयाम वुरुक
